warehouse,ItemCode,Description,Assortment,ItemGroup,ItemUnit,Stock,QtyToBeDelivered,CHK
4,800033,AUX-OXITOL,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,800050,POLYOL LY-4110 B,8-Jan-00,Sandwich Panel Products,kg, -   , -   ,-
4,800073,SILICONE AK-8832,8-Jan-00,Sandwich Panel Products,kg," 3,000.00 ", -   ,#N/A
4,800080,COIL-Prepainted G.I.- White- 0.38mm.x1220mm.,15-Jan-00,Raw Materials PU,kg, -   , -   ,-
4,810011,ACI-METHYLENE CHLORIDE,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,810017,ACI POLYOL PAN-40 CPL,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,810036,ACI POLYOL SHU ? 285FRD,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,810040,ACI POLYOL GLUE / SPC,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820005-002,ACI POLYOL PAN-40/MOG,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820016,ACI POLYOL SPR-35/W,6-Jan-00,Polyurethane Products,kg, -   , -   ,-
4,820042,ACI POLYOL / PIPE(PIR),6-Jan-00,Polyurethane Products,kg, -   , -   ,-
6,10009,ETERSOL -6512 -1,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
6,1008-NV001-P01USG,Nova Flat Alkyd   (NON KSS),26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
6,1009-NVC004-P01USG,Nova High Gloss (NON KSS) COLOR-004 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
6,1009-NVC007-P01USG,Nova High Gloss (NON KSS) COLOR-007 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
20,450084-03,CAPOXY ANCHOR GREY-3KG KIT (A+B+C),12-Jan-00,Epoxy Materials,EA, 112.00 , -   ,450084-03
3,421016-P15L,CAPCOAT W- P15- 15LT,3-Jan-00,Emulsified Bitumen Products,EA, -   , -   ,-
3,440017-P05,CAP POLYPATCH - B; 5KG Pail,4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,440033-B10,CAPTILE GROUT PEARL GREY S-102 10KG BAG,4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,601100,PROTECTION BOARD 3MM,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,101038,TITANIUM DIOXIDE NR-950 RUTILE,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,10157-ABIR,FILLITE 52/7S  20KG PPRBG,27-Jan-00,ABIR Stock,kg, -   , -   ,-
4,102003-01,BYK-A530,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,102003,DEFOAMER BYK-034,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,10223-02,AEROSIL 200,27-Jan-00,ABIR Stock,kg, 560.00 , -   ,#N/A
4,103040-01,Polypropylene Black Granules,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,104008,PIGMENT PINK 005,1-Jan-00,Raw Materials,kg, 50.00 , -   ,#N/A
4,104031,CEMENT WHITE,1-Jan-00,Raw Materials,kg," 11,800.00 ", -   ,#N/A
4,104042-06,PIGMENT PASTE -ORANGE TC 26,1-Jan-00,Raw Materials,LT, 6.00 , -   ,#N/A
4,104042-21,301(RED OXIDE),1-Jan-00,Raw Materials,LT, -   , -   ,-
4,104042-24,IU JO - YELLOW OXIDE COLORANT,1-Jan-00,Raw Materials,LT, -   , -   ,-
4,104073,1303-HS QUINACRIDON VIOLET,1-Jan-00,Raw Materials,LT, 14.00 , -   ,#N/A
4,105014,CALCIUM CARBONATE 100mc,1-Jan-00,Raw Materials,kg," 21,000.00 ", -   ,#N/A
4,106004-01,LAPOX AR 101,1-Jan-00,Raw Materials,kg," 3,120.00 ", -   ,#N/A
4,106005-04,HARDNER KH-240,1-Jan-00,Raw Materials,kg, 186.00 , -   ,#N/A
4,106005-18,HARDNER KH-500,1-Jan-00,Raw Materials,kg," 1,815.00 ", -   ,#N/A
4,107017,ISO STEARIC ACID,1-Jan-00,Raw Materials,kg, 360.00 , -   ,#N/A
4,107036,MICRO TALC,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,107059,Nebores HBS 261-60X,1-Jan-00,Raw Materials,kg," 1,610.00 ", -   ,#N/A
4,201021-01,COAL TAR EPOXY COATING (PART A+B)-ASPEC,1-Jan-00,Raw Materials,LT, -   , -   ,-
4,202018,SBS MODIFIED BITUMINOUS MEMBRANE 10mtr ROLL,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,301007-01,METAL PAIL 4 LTR PRINTED,13-Jan-00,Packing Materials,EA," 1,412.00 ", -   ,#N/A
4,301030,POLYTHENE BAG-CPTILE GROUT-10KG BAG,13-Jan-00,Packing Materials,EA," 1,160.00 ", -   ,#N/A
